Log file created at: 2019/01/07 17:55:50
Running on machine: A01-R06-I7-231-J33GRGY
Binary: Built with gc go1.11.1 for linux/amd64
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0107 17:55:50.797753    9981 init.go:88] 

Dgraph version   : v1.0.11
Commit SHA-1     : b2a09c5b
Commit timestamp : 2018-12-17 09:50:56 -0800
Branch           : HEAD
Go version       : go1.11.1

For Dgraph official documentation, visit https://docs.dgraph.io.
For discussions about Dgraph     , visit https://discuss.dgraph.io.
To say hi to the community       , visit https://dgraph.slack.com.

Licensed variously under the Apache Public License 2.0 and Dgraph Community License.
Copyright 2015-2018 Dgraph Labs, Inc.


I0108 07:29:37.236660    9981 pool.go:217] Connection established with 10.237.7.230:7083
E0108 07:30:55.287713    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 07:30:55.482304    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 07:33:25.287655    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 07:33:26.180304    9981 pool.go:217] Connection established with 10.237.7.232:7083
I0108 07:35:39.509009    9981 oracle.go:103] Purged below ts:30734, len(o.commits):0, len(o.rowCommit):1801
E0108 07:40:55.287677    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 07:40:55.507871    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 07:43:04.287657    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 07:43:05.656031    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 08:55:22.841119    9981 pool.go:206] Echo error from 10.237.7.231:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 08:55:24.821192    9981 pool.go:217] Connection established with 10.237.7.231:7083
E0108 09:38:41.287846    9981 pool.go:206] Echo error from 10.237.7.232:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 09:38:41.293327    9981 pool.go:217] Connection established with 10.237.7.232:7083
E0108 09:44:36.055293    9981 pool.go:206] Echo error from 10.237.7.230:7083. Err: rpc error: code = DeadlineExceeded desc = context deadline exceeded
I0108 09:44:36.473720    9981 pool.go:217] Connection established with 10.237.7.230:7083
I0108 10:44:28.190354    9981 oracle.go:103] Purged below ts:30901, len(o.commits):2, len(o.rowCommit):39133
I0108 11:35:45.413968    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 11:35:45.414615    9981 zero.go:386] Connected: cluster_info_only:true 
I0108 11:44:33.259070    9981 zero.go:368] Got connection request: cluster_info_only:true 
I0108 11:44:33.259486    9981 zero.go:386] Connected: cluster_info_only:true 
